P08144037A0000|0 10|Thioredoxin
P02832149A1009|3 6|lack
P08524314A0216|3 6|TEA1
P09386074A0694|3 6|pigs
P07748848A0263|3 6|term
P02281948A0245|3 6|corn
P07737118A0317|3 6|MPS1
P03537727A0243|3 6|poly
P08119958A0273|3 6|lack
P09343432A0209|3 5|Scm
P08980413A0500|3 5|P13
P09368097T0000|3 5|pen
P09846927A0227|3 5|tip
P06585277A0000|3 5|man
P07463294A1216|3 4|wk
P06671385A0856|3 4|NA
P08654946A0475|3 4|aa
P07119890T0000|3 3|A
P03436877A0950|3 3|c
P03781000A0101|4 7|lack
P00910823A0196|4 7|term
P01321277A0664|4 6|SRC
P07891708A0690|4 6|Epo
P07567980T0000|4 6|p53
P07737508A0649|4 5|Tb
P07616056A0278|4 5|mu
P11160742A0696|4 4|Z
P09712898A0911|5 9|TRAF2
P09693035T0000|5 8|ULK1
P10662550A0679|5 8|SOX8
P09368760A0665|5 8|PDK1
P11560992A1184|5 8|MKK7
P09916809A0405|5 7|MGP
P09389669A1009|5 7|dpp
P03214709A0559|5 7|min
P10851089A1248|5 7|SAG
P10330159A1258|5 7|VDR
P11029700A0295|5 6|Pt
P11311980A1049|5 5|B
P10817754T0000|6 9|Igf2
P01630454A0635|6 9|poly
P01681075A0429|6 8|min
P08680706A0889|6 6|h
P09458021A1373|6 6|P
P09398855A0438|6 6|D
P02323517A0557|6 6|h
P09800187A0100|7 11|Trp53
P11278290A1220|7 11|Smad2
P10721717A0676|7 10|FGD1
P08836740A1025|7 10|CES1
P08325504A0226|7 10|RD19
P06027841T0000|7 10|spin
P09020169A0552|7 10|SIM2
P07742363A0941|7 9|Ser
P09806919A0447|7 9|usp
P07516469A1025|7 9|Src
P08226794A0501|7 8|Dk
P01064124A0560|7 7|d
P10536788A0931|7 7|d
P11415952A0369|7 7|Q
P09627285A0554|7 7|S
P09515924A0104|7 7|g
P08103379A0577|8 14|stretch
P09029104A0226|8 12|IGLL1
P09435789A0961a|8 12|RAD17
P11358962A0344|8 12|Foxp2
P08833653A0783|8 12|isl-1
P10518502T0000|8 12|nos-2
P11285235A0466|8 12|TRPS1
P09671464A0316|8 11|SNF1
P09753775A0734|8 11|ICK1
P02778237A0585|8 11|term
P09852068A0150b|8 11|SHBG
P10801330A1714|8 10|Cas
P08663310A0157|8 10|SRF
P09148770A0977|8 10|Csk
P02999267A0606|8 10|FAP
P10521796A0872|8 9|GC
P07519481A1275|8 9|Sl
P02348225A0192|8 9|SE
P10743719A0223|8 9|dg
P11105717A0123|8 9|T2
P01321277A0664|8 8|R
P11372882A1143|8 8|p
P06863087A0664|8 8|D
P03537727A0243|8 8|A
P06671385A0856|8 8|A
P08406497A0000|9 17|fibrillin
P11687180A3209|9 12|term
P09858577A1186|9 12|SKO1
P11023934A0855|9 11|chi
P07828600A0095|9 11|SSP
P08499376A0000|9 11|PRK
P07516337A1119|9 11|Lck
P10799595A1454|9 11|YY1
P06492188A0615|9 9|d
P11441952A0414|9 9|D
P10727511A0294|9 9|s
P07754713A0227|10 13|NUC1
P08647264T0000|10 13|CD40
P10074282A0236|10 13|side
P08290278A0374|10 13|Mxi1
P03360948A0477|10 12|CAP
P11150315A1126|10 12|EGF
P10593950A1113|10 12|WT1
P09227332A1798|10 12|DDC
P09584194A0000|10 12|Cas
P02776742A0000|10 11|HR
P08062833A0000|10 11|nt
P11372882A1143|10 10|p
P10528035A1102|10 10|P
P02209811T0000|11 20|peroxidase
P07929559A0000|11 16|dynein
P01468625A1080|11 14|ACT1
P01754381A0000|11 14|step
P11831512A0468|11 14|pigs
P04828587T0000|11 13|tha
P07780148A1153|11 13|PML
P06426493A0331|11 13|min
P10602516A0182|11 13|SLK
P11083358A1071|11 13|SPT
P07519481A1275|11 13|pan
P09020138A0833|11 13|Cas
P09710582A0535|11 13|Rho
P10049359A1073|11 13|unr
P10704283A0649a|11 12|Mb
P08143667A0222|11 12|sd
P01525153A0359|11 11|d
P10673426A0168|11 11|R
P11876937A0261|11 11|U
P11134822A0629|11 11|P
P10560997A1072|11 11|S
P08083011A0584|11 11|R
P10934640A1114|11 11|p
P10329586A0414|12 22|fibronectin
P09434160A2078|12 16|PTPRO
P09864141A0528|12 16|Stat3
P07624119A0528|12 15|PAX3
P08951815A0465|12 15|ASN1
P02123295A0645|12 15|ARF2
P08264579A1209|12 15|PTR2
P00921911A0159|12 14|PGF
P02204810A1080|12 14|GA2
P08994968A0926|12 14|arm
P08626313A1037|12 14|Msp
P08106369A0000|12 14|AVP
P02372712A0002|12 14|tap
P01547942A0120|12 14|LAP
P00837811A0675|12 13|MS
P09288848A0780|12 13|Gy
P07491111A0221|12 13|GR
P09098899A0000|12 12|B
P07800479A0201|13 16|NSR1
P08566773A1023|13 16|CTS1
P11470914A0305|13 16|Rac1
P09315651T0000|13 16|AP-2
P10471696A0734|13 16|SAS4
P01446828A1088|13 16|ADH5
P09407031A0557|13 16|Crb2
P11278583A0873|13 16|SNT1
P10722661A0406|13 16|CYC2
P01420363T0000|13 15|AP1
P11046148A0716|13 15|Lyn
P06382374A0206|13 15|min
P01457380A0000|13 15|ttk
P10489680A0927|13 15|MPO
P10549354A1782|13 15|APC
P09987634A1265|13 15|PRK
P08774732A0271|13 15|Sp1
P07705627A1107|13 15|Mad
P07592706A1465|13 15|LPL
P01762917A0615|13 15|Ser
P09000049A1341|13 15|Mnt
P07828584A0681|13 15|IM1
P07749088A0119|13 14|T2
P02971710A0734|13 13|S
P10773951A0000|13 13|A
P09573378A0761|13 13|D
P08986692A0306|13 13|S
P01961996A0522|13 13|R
P09435789A0961a|14 18|RAD24
P02555177A0488|14 17|LEU2
P02209540A1362|14 17|Ets1
P02751080A0176|14 17|shot
P09348226A0852|14 16|EGF
P09765388T0000|14 16|p53
P09647240A0000|14 16|p53
P09553040A0651|14 16|Epo
P09488486A0906|14 16|TBP
P01727494A0000|14 15|VV
P01751255A0529|14 15|CO
P11489597A0379|14 15|gd
P10852485A0477|14 15|CS
P01889753A0441|14 15|nt
P01645905A0341|14 14|N
P03104914T0000|14 14|t
P07754713A0227|15 19|PRP21
P09334330A0252|15 19|daf-3
P11323716A0413|15 19|RAD23
P07565776A0612|15 18|HOG1
P01324406A1250|15 18|RAD5
P00959656A0250|15 18|term
P11176098A0342|15 18|pigs
P02793216A0876|15 18|lack
P07730336A0606|15 18|CREM
P09346925A0660|15 18|Grb2
P08909546A0810|15 18|PEA2
P08794363A0259|15 18|bZIP
P08622645A1026|15 17|VDR
P08986812A1214|15 17|p53
P02691811A0355|15 17|min
P09278494A0762|15 17|Sp1
P10349443A0358|15 17|lab
P09277629A0268|15 15|N
P08670556A0425|15 15|p
P09121435A1183|15 15|B
P07681513A0000|16 32|phosphodiesterase
P08576245A0000|16 24|chaperone
P00622556A0111|16 23|collagen
P09373155T0000|16 21|dynein
P08385581A0126|16 21|REC114
P09761791A0489|16 21|U1-70K
P09685346A0419|16 20|Pitx2
P09421516A1516|16 20|decay
P01652372A0153|16 19|SWI5
P10729220A0000|16 19|IGF2
P09155024A0955|16 19|EFG1
P10786671A0182|16 19|step
P09927449A0421|16 19|POG1
P01468625A0282|16 19|LEU2
P10959838A0153|16 19|Fhit
P09713996A0262|16 19|MDR1
P09341193A0362|16 18|Sp1
P10620335A0749|16 18|AHR
P01168908A0000|16 18|PGF
P06451557A0777|16 18|tip
P10362652A1456|16 18|Sos
P08350398A1616|16 17|ER
P02372712A0002|16 17|TW
P07519481A1275|16 17|Sl
P11902781A0550|16 16|N
P01372456A0426|16 16|h
P09139737A0000|17 24|protease
P10890911A0470|17 21|Smad3
P07760841A0647|17 20|ADH2
P10747879A0607|17 20|CCR5
P00159600A0871|17 19|SHR
P11133830A0174|17 19|CD2
P07890674A0916|17 19|APC
P09366517A0835|17 19|WT1
P07540773A0576|17 19|MBP
P09000049A1341|17 19|Max
P08290278A0374|17 19|Mad
P11058406A0447|17 19|SLN
P09860979A0521|17 19|Cas
P09413375A1486|17 19|LIS
P08483479A1056|17 19|PTH
P02038784A0317|17 19|ARC
P11179689A0000|17 19|Sry
P10660676A0000|17 19|cyc
P11029700A0295|17 18|Os
P06810070A0502|17 18|Hg
P06630319A0244|17 17|h
P11218739A0811|17 17|P
P02291144A0493|17 17|r
P08622698T0000|18 23|Notch1
P02714852T0000|18 22|HLA-B
P09583823A0238|18 21|pigs
P10544037A0617|18 21|FZD9
P10231026A0253|18 21|Elk1
P09806546A1270|18 21|RFX5
P10602502A0422|18 21|Tob2
P01918010A0000|18 20|LPL
P07746937A0100|18 20|EFR
P11158236A0000|18 20|NGF
P01721261T0000|18 19|FK
P02000093A0794|18 19|cv
P09135928A0912|18 18|P
P07665605A1127|18 18|D
P01158512T0000|19 31|dehydrogenase
P08377199A1432|19 23|patch
P10393422A0476|19 23|LAMB2
P10556089A0901|19 23|etr-1
P08406497A0000|19 22|FBN1
P09880512A1251|19 22|Bmp2
P10330134A0765|19 22|RFX1
P11094087T0000|19 22|Rnd3
P10377438A0647|19 22|UBC9
P10733569A0364|19 22|HSF1
P08223613A0105|19 22|TPS1
P11263664A1085|19 22|SIP1
P06150069A0422|19 21|VCR
P08776901A0000|19 21|chm
P07519481A1275|19 21|pan
P09246343T0000|19 21|man
P08721999A0727|19 20|nt
P02206858A0000|19 20|PC
P10426450A1458|19 20|SA
P04086403A1016|19 19|P
P11821098A0269|19 19|S
P11879108A0719|19 19|A
P01279352A1197|19 19|H
P11404312A0660|19 19|P
P10521447A0606|19 19|B
P09465035A1032|19 19|s
P08914388A1645|19 19|H
P09522979T0000|20 30|fibronectin
P09426595T0000|20 28|reductase
P01626430A1112|20 24|RAD16
P08566773A1023|20 23|CTS2
P10375638A0859|20 23|UTR1
P08617216A0584|20 23|DnaJ
P09139892A1150|20 23|orfX
P08497280A0266|20 23|SWI4
P10471696A0734|20 23|SAS5
P10807900A0933|20 23|lack
P02088781A0653|20 22|fog
P08321203A0840|20 22|Rel
P02293019A0000|20 22|ALP
P10684069A0508|20 22|MIP
P09218459A0000|20 22|SRF
P02669199A0000|20 22|TNF
P09341193A0362|20 22|Sp3
P10049357A0608|20 22|Ski
P08265955T0000|20 22|NHS
P11250942A0626|20 22|VDR
P09448268A0186|20 22|Nlk
P10650938T0000|20 21|ER
P09590540A0513|20 21|nt
P07784199A0000|20 21|rp
P11181525T0000|20 21|AR
P09272138A1153|20 21|CR
P03143048A1091|20 20|P
P07007591A0324|20 20|R
P07789275A0325|20 20|s
P10501969A1329|21 26|GATA-5
P09188863A0954|21 26|CDC25B
P02233729A1065|21 24|Dhfr
P09023378A0959|21 24|CBF1
P11101847A0159|21 24|E2F1
P08816483A0869|21 24|SIC1
P02209540A1362|21 24|Ets2
P09524122A0336|21 24|GPA2
P02269426A0428|21 23|TAR
P04679438T0001|21 23|mud
P11254713A1029|21 23|Tat
P08276234A0119|21 23|YY1
P09670943T0000|21 23|BCR
P09333026A0397|21 23|brk
P05758469T0001|21 23|man
P08871635A0000|21 23|BCR
P07494244A0335|21 23|YY1
P11408338A1686|21 23|PSP
P10559324A0716|21 22|Ad
P10322022A0263|21 22|aa
P03759330A0713|21 22|F2
P02198259A0685|21 21|N
P10684304A1242|21 21|U
P11023934A0855|21 21|P
P10627532A0739|21 21|R
P11403719A1257|22 25|Gab1
P11012680A0676|22 25|FGF1
P07862141A1412|22 25|RFX1
P09323366A0000|22 25|MLS1
P11113179A0541|22 25|SRC1
P09435789A0961a|22 25|MEC3
P09259052A0568|22 24|Jun
P10347839A0434|22 24|dog
P07926739A0766|22 24|GL2
P08621719A0568|22 24|Cbl
P09860979A0521|22 24|Cas
P11074003A0741|22 24|Shh
P11543154T0000|22 23|Tb
P01483771A1335|22 23|NA
P08293992A0432|22 23|nt
P02735364A1330|22 22|p
P11408604A1440|22 22|D
P07007591A0324|22 22|t
P06517816A0388|22 22|p
P08045834A0783|22 22|P
P10488337T0000|23 31|chaperone
P10347203A0832|23 27|STAT3
P10557072A1218|23 26|ULK2
P01516829A0113|23 26|SNF2
P07816617A0763|23 26|HAC1
P07235355A0462|23 26|COPD
P10611235A1927|23 26|step
P11323716A0413|23 26|DDI1
P01612085A0624|23 25|EPO
P06548953T0001|23 25|HTS
P10406465A0589|23 25|VDR
P10878398A0542|23 25|Epo
P07687541A0992|23 25|Ran
P10779329T0000|23 25|Src
P02720966A0455|23 25|ADA
P01372802A1481|23 24|C3
P07679836A0387|23 24|FK
P09999742T0000|23 24|Si
P10090535A1194|23 24|TG
P11883763A1062|23 24|Pu
P09352016A1110|23 24|pg
P01525153A0359|23 23|d
P11902781A0550|23 23|N
P10684304A1242|23 23|L
P01864510A0946|23 23|h
P09446600A0260|24 41|beta-galactosidase
P03190481A0292|24 31|esterase
P09079638A0883|24 28|CXCR2
P01331057A0000|24 28|COX12
P06324089A0453|24 27|GAL7
P10330134A0765|24 27|RFX2
P07926748A0383|24 27|NOT3
P11793614A0000|24 27|lack
P07883167A0157|24 27|UPF1
P07516866A0000|24 27|PRLR
P07565797A0116|24 27|CRY1
P09032259A0150|24 27|Rac1
P11274184A1068|24 27|ATF4
P11044097A0422|24 26|HMG
P09324988X0000|24 26|ras
P10485470A0242|24 26|Sp1
P09132057A0559|24 26|NTS
P11872570T0000|24 26|NHS
P08566756A0752|24 26|SAP
P01830114A1587|24 26|NS1
P10931927A0655|24 24|A
P08933487A0325|24 24|W
P01674817A0862|25 29|RNA14
P10544037A0617|25 29|FZD10
P09806546A1270|25 29|RFXAP
P11368911T0000|25 29|smg-4
P08537403A0336|25 29|LIMK1
P08647086T0000|25 28|Cdk2
P11309077A0953|25 28|Camp
P11054571A0230|25 28|TEN1
P03346210A0000|25 27|EGF
P00644314T0000|25 27|man
P10954093A0000|25 27|Pat
P11472696A0387|25 27|CRP
P10209759T0000|25 27|min
P07588628A0318|25 27|p53
P10521450A0437|25 27|Lyn
P09763470A0000|25 27|DBH
P08063108A0109|25 26|nt
P10627532A0739|25 25|Z
P09530251A0766|25 25|h
P11067928A0532|25 25|H
P02437792T0000|26 32|amylase
P09030581A0990|26 30|MKP-4
P11111051A0051|26 30|Tip60
P08524241A0212|26 30|HSP82
P10490639A0000|26 30|PHO85
P01597462A0457|26 30|CDC14
P01626430A1112|26 30|RAD54
P05120197T0000|26 29|pigs
P08395014A1364|26 29|BCK2
P08349104A0000|26 29|GAL1
P08816483A0869|26 29|SWI5
P11238882A0157|26 29|eIF6
P09150728A0596|26 29|HES1
P09420275A1111|26 29|CBF2
P02821340A0434|26 28|DCR
P07935370A0000|26 28|CD4
P09556566A0174|26 28|VDR
P09718671A0000|26 28|AIS
P06658445A0140|26 28|man
P09047344A0000|26 28|CBP
P08917449A0000|26 28|LIF
P09488486A0000|26 28|TBP
P09352016A1110|26 27|ml
P10488129T0058|26 26|S
P04075061A0355|26 26|L
P07937132A0819|27 33|stretch
P01723962A0165|27 33|amylase
P08887661A1061|27 31|TFIIB
P09364750T0000|27 31|SUP35
P09882303A1413|27 31|TRADD
P02674141A1202|27 30|CTSE
P09418871A0620|27 30|E2F1
P09822825A0141|27 30|BAP2
P08848052A0733|27 30|Gle1
P09049304A1193|27 30|AP-2
P10706475A0644|27 30|DSPP
P01762917A0615|27 29|Glu
P07494293A0585|27 29|tip
P10362652A0350|27 29|EGF
P03628713A0961|27 29|AIB
P11152283A0223|27 29|NGF
P11367523A1684|27 29|C4A
P09367426A1354|27 28|hh
P07607669A1112|27 28|GC
P08101843A0151|27 28|TH
P11902781A0550|27 27|N
P07775428A0172|27 27|s
P09049270A0488|27 27|A
P10934640A1114|27 27|p
P10423292A0782|28 32|Spam1
P07784078A1064|28 31|lack
P08195216A1022|28 31|HIS3
P01516829A0113|28 31|SNF5
P08784787A0383|28 31|PAR2
P09570107A0355|28 30|ESP
P09750540A0000|28 30|MCS
P10491187T0000|28 30|PTS
P08374753A0335|28 29|T2
P11274563T0000|28 29|MR
P11435517A0396|28 29|CP
P01310154A0879|28 28|N
P01371275T0000|28 28|B
P09354676A1714|28 28|t
P10775267A0363|28 28|L
P03722016A0797|28 28|P
P07499401A0444|28 28|H
P09335619A0583|28 28|R
P09300697A0000|29 36|protease
P09651375T0000|29 33|RGS12
P02934778A0702|29 33|5-HT2
P11024047A0626|29 33|Smad2
P11311464A0362|29 32|pain
P11256944A1144|29 32|ATF6
P09043768A0139|29 31|BLM
P08204348T0000|29 31|VIP
P08248246A0838|29 31|Sp1
P07729427A0942|29 31|TBP
P09362105X0422|29 31|PVR
P10669736A0903|29 31|CAT
P06503132A0784|29 30|Hn
P09156883A0294|29 30|HR
P10750020A0843|29 30|ER
P11902781A0550|29 30|H3
P01788002T0001|29 29|B
P09786404A0541|29 29|P
P04039307A0613|29 29|P
P11408604A1440|29 29|D
P04084607A0663|29 29|T
P11595170A0582|30 34|NR5A2
P09503017A1021|30 34|HYAL1
P09882303A1984|30 34|TRADD
P10706887A1457|30 33|ATIC
P09010223A0667|30 33|ELK1
P02293019A0000|30 32|mol
P03491190A0233|30 32|RCA
P10521450A0437|30 32|Syk
P07711730A0000|30 32|CPT
P10485470A0242|30 32|Sp3
P07112320A0086|30 32|ADA
P03098018A0139|30 31|cm
P02194972T0000|30 31|HR
P02158927A0000|30 31|nt
P10865422A0138|30 31|SF
P09168083A0987|30 30|P
P07191183A0505|30 30|s
P11067928A0532|30 30|J
P11566874T0000|31 36|dynein
P08340400T0000|31 35|RPE65
P02107073A0584|31 34|STE4
P02167784A0109|31 33|air
P07935626A1249|31 33|trp
P10748125A0000|31 33|I-2
P08631908A0224|31 33|DR4
P07636984A1349|31 33|SP1
P07799931A1232|31 33|Nrl
P07724452A0344|31 33|pen
P00644539A0783|31 32|ml
P07945134A0079|31 32|ft
P11278286A0456|31 32|MR
P01470243A0871|31 32|Ht
P00193088A0196|31 31|g
P01779769A0000|31 31|c
P06809474A1156|31 31|h
P02774808A0194|31 31|P
P09006902A0370|32 36|MEKK3
P09067577A0307|32 35|CRKL
P10841537A0669|32 35|RPB5
P09053494A0612|32 35|CD34
P09611229A1664|32 35|FAS1
P10330134A0765|32 35|RFX3
P09736697A0783|32 35|MEK1
P02122454A1042|32 34|Ser
P02776742A0000|32 34|Tre
P09050861A0903|32 34|DEK
P08626493A1468|32 34|CR2
P10688660A0992|32 34|CBP
P10477583A0000a|32 34|BCR
P09222057A0176|32 34|PDF
P09490676A0800|32 34|Myb
P09341158A0167|32 34|mu1
P10477583A0000b|32 34|BCR
P11221845A1370|32 34|mlt
P08534848A0188b|32 33|cv
P08534848A0188a|32 33|cv
P10517666A1069|32 33|GR
P08444345A0403|32 33|aa
P09914525A0890|32 33|tm
P03110692A0156|32 32|P
P10891093A0000|32 32|H
P11067928A0532|32 32|H
P10211919A0846|32 32|p
P11263622A0683|32 32|p
P10896859A0000|32 32|h
P06503132A0784|32 32|s
P11128312A1238|32 32|p
P08816482A0234|33 38|Stat5a
P01674817A0862|33 37|RNA15
P08537403A0336|33 37|LIMK2
P08441423A0145|33 36|GCD6
P07751848A0222|33 35|CPT
P09032259A0972|33 35|SRF
P09754571A1257|33 35|arm
P00555583T0000|33 35|man
P10799879T0000|33 35|Lnk
P09398332A0732|33 35|mu2
P09652742A0455|33 35|p53
P08660866A0504|33 35|Brd
P10518561A0885|33 35|Tec
P08541793A0796|33 35|min
P09538220A0000|33 35|mrr
P11367523A1684|33 35|C4B
P09234717A0000|33 35|Cbl
P07862533A0000|33 35|WT1
P08921865A1293|33 34|ss
P11535832A0586|33 34|aa
P03372422A0558|33 34|Ar
P07957632A0000|33 33|R
P09282985A0961|33 33|p
P10066815T0000|34 44|phosphatase
P10541865A1301|34 39|CDKN2A
P02437792T0000|34 39|lipase
P10333481A1102|34 37|UCP2
P02547778A0786|34 37|ANT1
P10913304A0894|34 37|Ets2
P08816483A0869|34 37|RIC3
P10409741A0382|34 37|CDC4
P01626430A1112|34 37|SNF2
P08182056A0695|34 37|NQO2
P00657551T0000|34 36|man
P10706887A0281|34 36|ALK
P10464310A0218|34 36|Crk
P09714835A0345|34 36|CPD
P07891713T0000|34 36|Fos
P00961711T0000|34 36|seg
P10571474A0571|34 36|CA3
P08662617A2051|34 36|HIP
P10419521A0136|34 36|ELL
P11606538A1002|34 36|Nrk
P11278286A0456|34 35|GR
P09382498A0618|34 35|cm
P10402022A0432|34 34|s
P04791420T0000|34 34|S
P11902781A0550|34 34|N
P11046517A0619|34 34|Z
P10472836A0189|34 34|P
P09364750T0000|35 39|SUP45
P07595221A0733|35 39|CIITA
P08895579A0583|35 38|MDM2
P09800187A0100|35 38|TP53
P09705352A0879|35 38|Mcm2
P08702728A1325|35 37|Shc
P10924061A0588|35 37|min
P09376782A0328|35 37|MMT
P11007949A1607|35 37|ILK
P09035307A0000|35 37|man
P02307850A1197|35 37|Con
P07569075A0585|35 36|CR
P09536901A0362|35 36|T2
P10756094A0671|35 36|Mb
P11227039A0953|35 35|P
P02838319A0527|35 35|p
P11238447A0524|36 41|eIF-5A
P11250942A0626|36 40|GRIP1
P10400757A1498|36 40|CXCR4
P10779508A0897|36 40|GRIP1
P09736697A1107|36 40|Stat3
P00168431T0000|36 39|term
P09247645A0000|36 39|SEC3
P10637337A0545|36 39|TFA1
P07797077A0842|36 38|Pip
P11078726X0000|36 38|p53
P09263856A0563|36 38|Gla
P09677410A1059|36 38|p53
P06517816A0388|36 38|Tre
P01334493A0289|36 38|HGF
P01499213A0185|36 38|man
P07894021A1130|36 38|DS2
P04428800T0001|36 38|LAP
P06731302A0930|36 38|SCD
P08918456A0455|36 37|mu
P07243380A0327|36 36|P
P03000457A1554|36 36|t
P11214354A1104|36 36|p
P11443509A0293|36 36|y
P08990168A0688|37 41|STAT1
P11459962A0785|37 41|Rad52
P07743515A0223|37 40|AAMP
P11005831A0242|37 40|bZIP
P10748113A0187|37 40|RIM2
P10541550A0487|37 40|ACE3
P09451003A0894|37 39|CRP
P01645902A1462|37 39|Syn
P11886473A0796|37 39|nod
P09285715A1257|37 39|Rev
P10722737A1726|37 39|Sp1
P09706565A1072|37 39|min
P09151806A1125|37 39|LAT
P01675763A1389|37 39|CD4
P08085782A0164|37 38|cm
P07937132A0819|37 38|nt
P00565314A0293|37 37|g
P08937989A1365|37 37|N
P09049270A0488|37 37|B
P11831512A0468|37 37|d
P10559364A0846|37 37|h
P01895370A0199|37 37|S
P10101744A0917|37 37|h
P09376626A0737|37 37|h
P07957632A0000|37 37|R
P11282088A0837|37 37|P
P10997904A1258|38 42|patch
P09882303A1984|38 42|TRAF2
P09182990A0245|38 42|SUP45
P07754713A0227|38 41|CDC6
P11007954A0170|38 41|Grb2
P11336211A0132|38 41|Appl
P09845662A0085|38 41|lack
P03073091A0449|38 40|min
P08580083A0259|38 40|Fyn
P09530251A0766|38 40|min
P10704975A0479|38 40|min
P10446206A0000|38 40|PS1
P02180935A0535|38 40|min
P01333317A1008|38 40|Sp1
P08619866A0000|38 40|HGF
P09341158A0167|38 40|mu2
P09638793A1446|38 40|Hct
P07639106A0678|38 40|fit
P11207288A0897|38 40|ABR
P10585480A0157|38 40|Sos
P01469047A1606|38 39|aa
P07666415A0000|38 39|cp
P09789795A0607|38 38|A
P07706273T0000|38 38|H
P07918494A1163|39 49|thioredoxin
P09506962A1000|39 45|calpain
P09119112A1350|39 44|GATA-5
P11069897A1112|39 43|BACH1
P11003641A0811|39 43|RAP74
P01468625A1080|39 42|NSR1
P10913304A0894|39 42|Fli1
P09434160A2078|39 42|CD34
P09922230A1482|39 42|CAP1
P09215891A0000|39 42|CIN1
P09745797A0943|39 42|pain
P08486705A0181|39 42|TIF5
P08389453A0193|39 42|step
P08139542A1229|39 42|CPA1
P09479498A0000|39 42|RNF4
P09990507A0763|39 42|Pop1
P02923687A0218|39 42|side
P02167784A0109|39 41|min
P08552082A0480|39 41|CAP
P08945810T0001|39 41|man
P02179815A0582|39 41|CEF
P09369453A0273|39 41|BAD
P07791764A0357|39 41|Cbl
P09688264A1029|39 41|spi
P02333749A0411|39 41|SPT
P03911052A0909|39 40|CP
P01418834A0987|39 39|H
P10440923A0684|39 39|h
P08349632A0679|39 39|L
P02393001A0324|39 39|r
P08005412A0608|39 39|P
P01675424A0991|39 39|P
P07945134A0079|39 39|m
P09075739A0827|39 39|S
P11285329A0682|39 39|P
P10425094A1006|39 39|s
P01709486A0000|39 39|W
P02483210A0000|40 46|amylase
P10359664A0579|40 45|MARCKS
P07553942A0810|40 44|rrn26
P01518833A0397|40 43|poly
P09144165A0614|40 43|NFAT
P10913276A0510|40 43|SOS1
P02055484A0538|40 43|ATG1
P07537736A0453|40 43|Jak2
P01506746A0476|40 43|pigs
